trip_headsign,Departure Date,Departure Time,Origin,Arrival Time,Destination,Stops
9862,2024-08-10 00:00:00,07:03:00,Perpignan,15:25:00,Bruxelles Midi,"[['Perpignan', 0, 0, '07:03:00', 0], ['Narbonne', '07:43:00', 0, '07:46:00', 0], ['Béziers', '08:01:00', 0, '08:04:00', 0], ['Agde', '08:15:00', 0, '08:18:00', 0], ['Sète', '08:31:00', 0, '08:34:00', 0], ['Montpellier Saint-Roch', '08:54:00', 0, '08:59:00', 0], ['Nîmes Centre', '09:24:00', 0, '09:27:00', 0], ['Valence TGV Rhône-Alpes Sud', '10:10:00', 0, '10:15:00', 0], ['Lyon Part Dieu', '10:50:00', 0, '11:00:00', 0], ['Marne-la-Vallée Chessy', '12:47:00', 0, '12:51:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '13:01:00', 0, '13:07:00', 0], ['TGV Haute Picardie', '13:36:00', 0, '13:40:00', 0], ['Arras', '13:57:00', 0, '14:04:00', 0], ['Lille Europe', '14:29:00', 300, '14:51:00', 0], ['Bruxelles Midi', '15:25:00', 0, 0, 0]]"
7885,2024-08-10 00:00:00,10:42:00,StopPoint:OCEOUIGO-87686006,16:13:00,StopPoint:OCEOUIGO-87784009,"[['StopPoint:OCEOUIGO-87686006', 0, 0, '10:42:00', 0], ['StopPoint:OCEOUIGO-87762906', '12:32:00', 0, '12:35:00', 0], ['StopPoint:OCEOUIGO-87775007', '13:41:00', 0, '13:45:00', 0], ['StopPoint:OCEOUIGO-87773002', '14:11:00', 0, '14:17:00', 0], ['StopPoint:OCEOUIGO-87773200', '14:33:00', 0, '14:36:00', 0], ['StopPoint:OCEOUIGO-87781278', '14:50:00', 0, '14:53:00', 0], ['StopPoint:OCEOUIGO-87781005', '15:06:00', 0, '15:09:00', 0], ['StopPoint:OCEOUIGO-87781104', '15:22:00', 0, '15:25:00', 0], ['StopPoint:OCEOUIGO-87784009', '16:13:00', 0, 0, 0]]"
6473,2024-08-10 00:00:00,10:46:00,Paris Gare de Lyon Hall 1 - 2,15:36:00,Saint-Gervais-les-Bains-Le Fayet,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '10:46:00', 0], ['Bellegarde', '13:30:00', 0, '13:43:00', 0], ['Annemasse', '14:22:00', 0, '14:37:00', 0], ['Cluses', '15:09:00', 0, '15:13:00', 0], ['Sallanches - Combloux - Megève', '15:28:00', 0, '15:31:00', 0], ['Saint-Gervais-les-Bains-Le Fayet', '15:36:00', 0, 0, 0]]"
5026,2024-08-10 00:00:00,11:01:00,Lille Europe,15:50:00,Montpellier Sud de France,"[['Lille Europe', 0, 0, '11:06:00', 300], ['Aéroport Charles de Gaulle 2 TGV', '11:58:00', 300, '12:04:00', 300], ['Marne-la-Vallée Chessy', '12:08:00', 0, '12:13:00', 0], ['Lyon Part Dieu', '14:00:00', 0, '14:10:00', 0], ['Valence TGV Rhône-Alpes Sud', '14:45:00', 0, '14:50:00', 0], ['Nîmes Pont du Gard', '15:27:00', 0, '15:30:00', 0], ['Montpellier Sud de France', '15:50:00', 0, 0, 0]]"
7841,2024-08-10 00:00:00,11:38:00,StopPoint:OCEOUIGO-87286005,16:12:00,StopPoint:OCEOUIGO-87751008,"[['StopPoint:OCEOUIGO-87286005', 0, 0, '11:38:00', 0], ['StopPoint:OCEOUIGO-87271494', '12:32:00', 0, '12:37:00', 0], ['StopPoint:OCEOUIGO-87111849', '12:46:00', 0, '12:50:00', 0], ['StopPoint:OCEOUIGO-87762906', '14:33:00', 0, '14:37:00', 0], ['StopPoint:OCEOUIGO-87318964', '15:27:00', 0, '15:30:00', 0], ['StopPoint:OCEOUIGO-87319012', '15:50:00', 0, '15:53:00', 0], ['StopPoint:OCEOUIGO-87751008', '16:12:00', 0, 0, 0]]"
9269,2024-08-10 00:00:00,11:56:00,StopPoint:OCELyria-87686006,15:37:00,Lausanne,"[['StopPoint:OCELyria-87686006', 0, 0, '11:56:00', 0], ['StopPoint:OCELyria-87713040', '13:29:00', 0, '13:33:00', 0], ['StopPoint:OCELyria-87713412', '13:56:00', 0, '13:58:00', 0], ['Frasne', '14:40:00', 0, '14:42:00', 0], ['Vallorbe', '14:57:00', 0, '15:02:00', 0], ['Lausanne', '15:37:00', 0, 0, 0]]"
8717,2024-08-10 00:00:00,11:57:00,Paris Montparnasse Hall 1 - 2,15:34:00,Quimper,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '11:57:00', 0], ['Rennes', '13:25:00', 0, '13:29:00', 0], ['Vannes', '14:24:00', 0, '14:27:00', 0], ['Auray', '14:37:00', 0, '14:40:00', 0], ['Lorient', '14:57:00', 0, '15:00:00', 0], ['Quimper', '15:34:00', 0, 0, 0]]"
5080,2024-08-10 00:00:00,12:00:00,Rennes,15:50:00,Lille Europe,"[['Rennes', 0, 0, '12:10:00', 600], ['Laval', '12:41:00', 900, '12:44:00', 900], ['Le Mans', '13:12:00', 900, '13:15:00', 900], ['Massy TGV', '14:03:00', 900, '14:05:00', 600], ['Marne-la-Vallée Chessy', '14:36:00', 600, '14:41:00', 600], ['Aéroport Charles de Gaulle 2 TGV', '14:51:00', 600, '15:08:00', 600], ['Lille Europe', '15:50:00', 0, 0, 0]]"
5280,2024-08-10 00:00:00,12:00:00,Rennes,15:50:00,Lille Europe,"[['Rennes', 0, 0, '12:10:00', 600], ['Laval', '12:41:00', 900, '12:44:00', 900], ['Le Mans', '13:12:00', 900, '13:15:00', 900], ['Massy TGV', '14:03:00', 900, '14:05:00', 600], ['Marne-la-Vallée Chessy', '14:36:00', 600, '14:41:00', 600], ['Aéroport Charles de Gaulle 2 TGV', '14:51:00', 600, '15:08:00', 600], ['Lille Europe', '15:50:00', 0, 0, 0]]"
9773,2024-08-10 00:00:00,12:18:00,StopPoint:OCELyria-87686006,15:29:00,Geneve,"[['StopPoint:OCELyria-87686006', 0, 0, '12:18:00', 0], ['Bourg-en-Bresse', '14:09:00', 0, '14:12:00', 0], ['StopPoint:OCELyria-87745000', '15:00:00', 0, '15:03:00', 0], ['Geneve', '15:29:00', 0, 0, 0]]"
9233,2024-08-10 00:00:00,12:22:00,StopPoint:OCELyria-87686006,15:26:00,Basel SBB,"[['StopPoint:OCELyria-87686006', 0, 0, '12:22:00', 0], ['StopPoint:OCELyria-87713040', '13:57:00', 0, '14:01:00', 0], ['StopPoint:OCELyria-87182063', '15:03:00', 0, '15:06:00', 0], ['Basel SBB', '15:26:00', 0, 0, 0]]"
9404,2024-08-10 00:00:00,12:23:00,Freiburg (Breisgau) Hbf,19:42:00,Bordeaux Saint-Jean,"[['Freiburg (Breisgau) Hbf', 0, 0, '12:23:00', 0], ['Ringsheim', '12:51:00', 0, '12:52:00', 0], ['Lahr (Schwarzw)', '12:59:00', 0, '13:00:00', 0], ['Offenburg', '13:11:00', 0, '13:12:00', 0], ['Strasbourg', '13:40:00', 0, '13:47:00', 0], ['Lorraine TGV', '14:22:00', 0, '14:25:00', 0], ['Meuse TGV', '14:44:00', 0, '14:51:00', 0], ['Champagne-Ardenne TGV', '15:15:00', 0, '15:18:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '15:50:00', 0, '16:05:00', 0], ['Marne-la-Vallée Chessy', '16:14:00', 0, '16:23:00', 0], ['Massy TGV', '16:51:00', 0, '16:57:00', 0], ['Saint-Pierre-des-Corps', '17:47:00', 0, '17:51:00', 0], ['Poitiers', '18:23:00', 0, '18:26:00', 0], ['Angoulême', '19:03:00', 0, '19:06:00', 0], ['Bordeaux Saint-Jean', '19:42:00', 0, 0, 0]]"
