Trip ID,Departure Date,Departure Time,Arrival Time,Stops,Origin,Destination,trip_headsign
OCESN6165F3135546:2024-09-17T00:20:00Z,20240917,11:22:00,18:43:00,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '11:22:00', 0], ['Avignon TGV', '14:51:00', 3000, '14:59:00', 3300], ['Toulon', '16:39:00', 5400, '16:43:00', 5400], ['Saint-Raphaël Valescure', '17:42:00', 6000, '17:45:00', 6000], ['Cannes', '18:10:00', 6000, '18:14:00', 6000], ['Antibes', '18:23:00', 6000, '18:26:00', 6000], ['Nice-Ville', '18:43:00', 6000, 0, 0]]",Paris Gare de Lyon Hall 1 - 2,Nice-Ville,6165.0
OCESN9879F3096403:2024-09-17T00:20:00Z,20240917,11:24:00,18:50:00,"[['Luxembourg', 0, 0, '11:24:00', 0], ['Thionville', '11:50:00', 300, '11:53:00', 300], ['Metz', '12:10:00', 300, '12:15:00', 300], ['Strasbourg', '13:02:00', 300, '13:06:00', 60], ['Mulhouse', '13:54:00', 0, '13:57:00', 0], ['Belfort - Montbéliard TGV', '14:18:00', 0, '14:21:00', 0], ['Besançon Franche-Comté TGV', '14:41:00', 0, '14:44:00', 0], ['Dijon', '15:11:00', 0, '15:21:00', 0], ['Mâcon', '16:18:00', 0, '16:21:00', 0], ['Lyon Part Dieu', '16:56:00', 0, '17:10:00', 0], ['Valence TGV Rhône-Alpes Sud', '17:46:00', 0, '17:51:00', 0], ['Nîmes Pont du Gard', '18:27:00', 0, '18:30:00', 0], ['Montpellier Sud de France', '18:50:00', 0, 0, 0]]",Luxembourg,Montpellier Sud de France,9879.0
OCESN6176F3137198:2024-09-17T00:20:00Z,20240917,12:03:00,18:30:00,"[['Nice-Ville', 0, 0, '12:03:00', 0], ['Antibes', '12:16:00', 0, '12:20:00', 0], ['Cannes', '12:30:00', 0, '12:34:00', 0], ['Saint-Raphaël Valescure', '12:55:00', 0, '13:03:00', 300], ['Toulon', '13:50:00', 300, '13:54:00', 300], ['Marseille Saint-Charles', '14:37:00', 300, '14:46:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '18:30:00', 2400, 0, 0]]",Nice-Ville,Paris Gare de Lyon Hall 1 - 2,6176.0
OCESN9866F3266118:2024-09-17T00:20:00Z,20240917,12:14:00,17:48:00,"[['Marseille Saint-Charles', 0, 0, '12:14:00', 0], ['Aix-en-Provence TGV', '12:25:00', 0, '12:28:00', 0], ['Avignon TGV', '12:47:00', 0, '12:51:00', 0], ['Lyon Part Dieu', '13:53:00', 0, '14:00:00', 0], ['Marne-la-Vallée Chessy', '15:51:00', 300, '15:55:00', 300], ['Aéroport Charles de Gaulle 2 TGV', '16:05:00', 300, '16:12:00', 300], ['Lille Europe', '17:03:00', 300, '17:14:00', 300], ['Bruxelles Midi', '17:48:00', 300, 0, 0]]",Marseille Saint-Charles,Bruxelles Midi,9866.0
OCESN5537F3089837:2024-09-14T00:20:37Z,20240917,12:26:00,20:41:00,"[['Nancy', 0, 0, '12:26:00', 0], ['Strasbourg', '13:29:00', 0, '13:37:00', 0], ['Colmar', '14:05:00', 0, '14:08:00', 0], ['Mulhouse', '14:36:00', 0, '14:40:00', 0], ['Belfort - Montbéliard TGV', '15:02:00', 0, '15:06:00', 0], ['Besançon Franche-Comté TGV', '15:29:00', 0, '15:36:00', 0], ['Dijon', '16:04:00', 0, '16:20:00', 0], ['Beaune', '16:39:00', 0, '16:42:00', 0], ['Lyon Part Dieu', '17:56:00', 0, '18:06:00', 0], ['Avignon TGV', '19:08:00', 0, '19:11:00', 0], ['Aix-en-Provence TGV', '19:30:00', 0, '19:33:00', 0], ['Marseille Saint-Charles', '19:45:00', 0, '19:59:00', 0], ['Toulon', '20:41:00', 0, 0, 0]]",Nancy,Toulon,5537.0
OCESN7673F3365407:2024-07-06T00:31:25Z,20240917,12:37:00,17:42:00,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '12:37:00', 0], ['Massy TGV', '12:46:00', 0, '12:49:00', 0], ['Angoulême', '14:29:00', 0, '14:32:00', 0], ['Bordeaux Saint-Jean', '15:08:00', 0, '15:19:00', 0], ['Agen', '16:22:00', 0, '16:25:00', 0], ['Montauban Ville Bourbon', '17:05:00', 0, '17:08:00', 0], ['Toulouse Matabiau', '17:42:00', 300, 0, 0]]",Paris Montparnasse Hall 1 - 2,Toulouse Matabiau,7673.0
OCESN8582F3169227:2024-09-16T00:23:36Z,20240917,12:38:00,17:49:00,"[['Tarbes', 0, 0, '12:38:00', 0], ['Lourdes', '12:52:00', 0, '13:02:00', 0], ['Pau', '13:27:00', 0, '13:35:00', 300], ['Orthez', '13:55:00', 300, '13:58:00', 300], ['Dax', '14:25:00', 300, '14:29:00', 0], ['Bordeaux Saint-Jean', '15:40:00', 0, '15:46:00', 0], ['Paris Montparnasse Hall 1 - 2', '17:49:00', 0, 0, 0]]",Tarbes,Paris Montparnasse Hall 1 - 2,8582.0
OCESN5306F3163473:2024-09-17T00:20:00Z,20240917,12:44:00,17:49:00,"[['Nantes', 0, 0, '12:44:00', 0], ['Angers Saint-Laud', '13:23:00', 0, '13:26:00', 0], ['Saumur', '13:46:00', 0, '13:49:00', 0], ['Saint-Pierre-des-Corps', '14:24:00', 0, '14:28:00', 0], ['Massy TGV', '15:18:00', 0, '15:26:00', 0], ['Lyon Part Dieu', '17:30:00', 0, '17:40:00', 0], ['Lyon Perrache', '17:49:00', 0, 0, 0]]",Nantes,Lyon Perrache,5306.0
OCESN6941F3132512:2024-09-17T00:20:00Z,20240917,12:46:00,17:42:00,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '13:16:00', 1800], ['Mâcon - Loché TGV', '15:04:00', 2700, '15:07:00', 2700], ['Chambéry - Challes-les-Eaux', '16:35:00', 3600, '16:48:00', 3600], ['Aix-les-Bains le Revard', '16:58:00', 3600, '17:01:00', 3600], ['Annecy', '17:42:00', 4200, 0, 0]]",Paris Gare de Lyon Hall 1 - 2,Annecy,6941.0
OCESN5284F3159853:2024-05-29T00:26:54Z,20240917,12:58:00,17:58:00,"[['Bordeaux Saint-Jean', 0, 0, '12:58:00', 0], ['Angoulême', '13:34:00', 0, '13:37:00', 0], ['Poitiers', '14:21:00', 300, '14:24:00', 300], ['Saint-Pierre-des-Corps', '14:57:00', 300, '15:01:00', 300], ['Massy TGV', '15:47:00', 0, '15:55:00', 0], ['Marne-la-Vallée Chessy', '16:26:00', 0, '16:31:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '16:41:00', 0, '16:47:00', 0], ['TGV Haute Picardie', '17:17:00', 0, '17:31:00', 0], ['Lille Europe', '17:58:00', 0, 0, 0]]",Bordeaux Saint-Jean,Lille Europe,5284.0
OCESN6258F3159998:2024-09-17T00:20:00Z,20240917,12:59:00,18:17:00,"[['Perpignan', 0, 0, '12:59:00', 0], ['Narbonne', '13:36:00', 0, '13:39:00', 0], ['Béziers', '13:52:00', 0, '14:00:00', 300], ['Agde', '14:12:00', 300, '14:15:00', 300], ['Sète', '14:28:00', 300, '14:31:00', 300], ['Montpellier Sud de France', '14:49:00', 300, '14:52:00', 60], ['Nîmes Pont du Gard', '15:10:00', 0, '15:15:00', 0], ['Valence TGV Rhône-Alpes Sud', '15:52:00', 0, '15:55:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '18:17:00', 300, 0, 0]]",Perpignan,Paris Gare de Lyon Hall 1 - 2,6258.0
OCESN7835F3175478:2024-09-17T00:20:00Z,20240917,12:59:00,18:05:00,"[['Lille Flandres', 0, 0, '13:14:00', 900], ['Aéroport Charles de Gaulle 2 TGV', '14:13:00', 1200, '14:18:00', 1200], ['Marne-la-Vallée Chessy', '14:27:00', 1200, '14:33:00', 1200], ['Lyon Part Dieu', '16:30:00', 1800, '16:31:00', 1500], ['Avignon TGV', '17:34:00', 1500, '17:37:00', 1500], ['Marseille Saint-Charles', '18:05:00', 1200, 0, 0]]",Lille Flandres,Marseille Saint-Charles,7835.0
OCESN9553F3378361:2024-09-17T00:20:00Z,20240917,13:09:00,17:46:00,"[['Paris Est', 0, 0, '13:09:00', 0], ['Sarrebruck', '15:02:00', 300, '15:04:00', 300], ['Kaiserslautern Hbf', '15:40:00', 300, '15:42:00', 300], ['Mannheim Hbf', '16:20:00', 300, '16:31:00', 300], ['Francfort sur le Main', '17:46:00', 300, 0, 0]]",Paris Est,Francfort sur le Main,9553.0
OCESN8540F3155341:2024-09-15T00:19:40Z,20240917,13:12:00,17:49:00,"[['Hendaye', 0, 0, '13:12:00', 0], ['Saint-Jean-de-Luz - Ciboure', '13:23:00', 0, '13:26:00', 0], ['Biarritz', '13:36:00', 0, '13:39:00', 0], ['Bayonne', '13:51:00', 0, '13:54:00', 0], ['Dax', '14:29:00', 300, '14:31:00', 120], ['Bordeaux Saint-Jean', '15:40:00', 0, '15:46:00', 0], ['Paris Montparnasse Hall 1 - 2', '17:49:00', 0, 0, 0]]",Hendaye,Paris Montparnasse Hall 1 - 2,8540.0
OCESN9830F3131390:2024-09-17T00:20:00Z,20240917,13:17:00,19:05:00,"[['Bruxelles Midi', 0, 0, '13:17:00', 0], ['Lille Europe', '13:51:00', 0, '14:01:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '14:58:00', 300, '15:04:00', 300], ['Marne-la-Vallée Chessy', '15:09:00', 0, '15:15:00', 0], ['Lyon Part Dieu', '17:15:00', 900, '17:26:00', 1200], ['Avignon TGV', '18:28:00', 1200, '18:31:00', 1200], ['Aix-en-Provence TGV', '18:50:00', 1200, '18:53:00', 1200], ['Marseille Saint-Charles', '19:05:00', 1200, 0, 0]]",Bruxelles Midi,Marseille Saint-Charles,9830.0
OCESN2239F3091989:2024-09-14T00:20:37Z,20240917,13:37:00,20:41:00,"[['Strasbourg', 0, 0, '13:37:00', 0], ['Colmar', '14:05:00', 0, '14:08:00', 0], ['Mulhouse', '14:36:00', 0, '14:40:00', 0], ['Belfort - Montbéliard TGV', '15:02:00', 0, '15:06:00', 0], ['Besançon Franche-Comté TGV', '15:29:00', 0, '15:36:00', 0], ['Dijon', '16:04:00', 0, '16:20:00', 0], ['Beaune', '16:39:00', 0, '16:42:00', 0], ['Lyon Part Dieu', '17:56:00', 0, '18:06:00', 0], ['Avignon TGV', '19:08:00', 0, '19:11:00', 0], ['Aix-en-Provence TGV', '19:30:00', 0, '19:33:00', 0], ['Marseille Saint-Charles', '19:45:00', 0, '19:59:00', 0], ['Toulon', '20:41:00', 0, 0, 0]]",Strasbourg,Toulon,2239.0
OCESN9774F3156646:2024-09-17T00:20:00Z,20240917,13:45:00,18:07:00,"[['Lausanne', 0, 0, '13:45:00', 0], ['Geneve', '14:21:00', 0, '14:29:00', 0], ['Bellegarde', '14:58:00', 0, '15:02:00', 0], ['Bourg-en-Bresse', '15:49:00', 0, '15:52:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '18:07:00', 1500, 0, 0]]",Lausanne,Paris Gare de Lyon Hall 1 - 2,9774.0
OCESN5500F3090400:2024-09-17T00:20:00Z,20240917,13:57:00,21:09:00,"[['Montpellier Saint-Roch', 0, 0, '13:57:00', 0], ['Nîmes Centre', '14:24:00', 0, '14:27:00', 0], ['Valence TGV Rhône-Alpes Sud', '15:09:00', 0, '15:14:00', 0], ['Lyon Part Dieu', '15:50:00', 0, '16:04:00', 0], ['Mâcon', '16:39:00', 0, '16:42:00', 0], ['Dijon', '17:40:00', 0, '17:50:00', 0], ['Besançon Franche-Comté TGV', '18:17:00', 0, '18:22:00', 0], ['Belfort - Montbéliard TGV', '18:44:00', 0, '18:47:00', 0], ['Mulhouse', '19:09:00', 0, '19:12:00', 0], ['Colmar', '19:41:00', 0, '19:44:00', 0], ['Strasbourg', '20:13:00', 0, '20:22:00', 0], ['Metz', '21:09:00', 0, 0, 0]]",Montpellier Saint-Roch,Metz,5500.0
OCESN7860F3087181:2024-09-17T00:20:00Z,20240917,13:59:00,18:48:00,"[['Montpellier Sud de France', 0, 0, '13:59:00', 0], ['Nîmes Pont du Gard', '14:18:00', 0, '14:21:00', 0], ['Lyon Saint-Exupéry TGV', '15:20:00', 0, '15:34:00', 0], ['Marne-la-Vallée Chessy', '17:19:00', 0, '17:26:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '17:35:00', 0, '17:42:00', 0], ['TGV Haute Picardie', '18:11:00', 0, '18:14:00', 0], ['Lille Flandres', '18:48:00', 0, 0, 0]]",Montpellier Sud de France,Lille Flandres,7860.0
OCESN5454F3436697:2024-09-17T00:20:00Z,20240917,14:01:00,20:02:00,"[['Strasbourg', 0, 0, '14:16:00', 900], ['Lorraine TGV', '14:51:00', 900, '14:54:00', 900], ['Meuse TGV', '15:13:00', 900, '15:20:00', 900], ['Champagne-Ardenne TGV', '15:44:00', 900, '15:47:00', 900], ['Aéroport Charles de Gaulle 2 TGV', '16:19:00', 900, '16:34:00', 900], ['Marne-la-Vallée Chessy', '16:38:00', 600, '16:42:00', 600], ['Massy TGV', '17:09:00', 300, '17:17:00', 300], ['Saint-Pierre-des-Corps', '18:03:00', 0, '18:07:00', 0], ['Poitiers', '18:39:00', 0, '18:42:00', 0], ['Angoulême', '19:21:00', 0, '19:24:00', 0], ['Bordeaux Saint-Jean', '20:02:00', 0, 0, 0]]",Strasbourg,Bordeaux Saint-Jean,5454.0
OCESN6196F3144400:2024-09-17T00:20:00Z,20240917,14:04:00,17:56:00,"[['Avignon Centre', 0, 0, '14:04:00', 0], ['Orange', '14:17:00', 0, '14:20:00', 0], ['Montélimar', '14:44:00', 0, '14:47:00', 0], ['Valence Ville', '15:10:00', 0, '15:13:00', 0], ['Lyon Saint-Exupéry TGV', '15:42:00', 0, '15:54:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '17:56:00', 600, 0, 0]]",Avignon Centre,Paris Gare de Lyon Hall 1 - 2,6196.0
OCESN5480F3152630:2024-09-13T00:21:10Z,20240917,14:08:00,19:29:00,"[['Nantes', 0, 0, '14:08:00', 0], ['Angers Saint-Laud', '14:45:00', 0, '14:48:00', 0], ['Le Mans', '15:27:00', 0, '15:30:00', 0], ['Massy TGV', '16:18:00', 0, '16:26:00', 0], ['Marne-la-Vallée Chessy', '16:56:00', 0, '17:01:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '17:11:00', 0, '17:29:00', 0], ['Champagne-Ardenne TGV', '17:59:00', 0, '18:09:00', 0], ['Lorraine TGV', '18:48:00', 0, '18:51:00', 0], ['Strasbourg', '19:29:00', 0, 0, 0]]",Nantes,Strasbourg,5480.0
OCESN6177F3107730:2024-09-17T00:20:00Z,20240917,14:10:00,20:17:00,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '14:35:00', 1500], ['Marseille Saint-Charles', '17:44:00', 1800, '17:58:00', 1800], ['Toulon', '18:36:00', 1500, '18:40:00', 1500], ['Saint-Raphaël Valescure', '19:20:00', 1200, '19:23:00', 1200], ['Cannes', '19:48:00', 1200, '19:53:00', 1200], ['Antibes', '20:01:00', 1200, '20:04:00', 1200], ['Nice-Ville', '20:17:00', 1200, 0, 0]]",Paris Gare de Lyon Hall 1 - 2,Nice-Ville,6177.0
OCESN8630F3137994:2024-09-14T00:20:37Z,20240917,14:10:00,18:10:00,"[['Brest', 0, 0, '14:10:00', 0], ['Morlaix', '14:41:00', 0, '14:43:00', 0], ['Plouaret Trégor', '15:01:00', 0, '15:08:00', 300], ['Guingamp', '15:21:00', 300, '15:24:00', 300], ['Saint-Brieuc', '15:38:00', 300, '15:41:00', 300], ['Lamballe', '15:50:00', 300, '15:53:00', 300], ['Rennes', '16:34:00', 300, '16:40:00', 300], ['Paris Montparnasse Hall 1 - 2', '18:10:00', 300, 0, 0]]",Brest,Paris Montparnasse Hall 1 - 2,8630.0
OCESN9250F3422860:2024-09-17T00:20:00Z,20240917,14:10:00,23:14:00,"[['MILANO PORTA GARIBALDI', 0, 0, '14:10:00', 0], ['Turin Porta Susa', '15:39:00', 0, '15:41:00', 0], ['OULX CESANA CLAVIERE SESTRIERE', '16:33:00', 0, '17:10:00', 0], ['Saint-Jean-de-Maurienne Arvan', '19:00:00', 0, '19:30:00', 0], ['Chambéry - Challes-les-Eaux', '20:15:00', 0, '20:22:00', 0], ['Mâcon - Loché TGV', '21:36:00', 0, '21:39:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '23:14:00', 0, 0, 0]]",MILANO PORTA GARIBALDI,Paris Gare de Lyon Hall 1 - 2,9250.0
