trip_headsign,Departure Date,Departure Time,Origin,Arrival Time,Destination,Stops
9555,2024-09-17,17:09:00,Paris Est,21:37:00,Francfort sur le Main,"[['Paris Est', 0, 0, '17:09:00', 0], ['Sarrebruck', '18:57:00', 0, '18:59:00', 0], ['Kaiserslautern Hbf', '19:35:00', 0, '19:37:00', 0], ['Mannheim Hbf', '20:18:00', 0, '20:26:00', 0], ['Francfort sur le Main', '21:37:00', 0, 0, 0]]"
12267,2024-09-17,17:11:00,Paris Montparnasse Hall 1 - 2,19:14:00,Bordeaux Saint-Jean,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '17:11:00', 0], ['Bordeaux Saint-Jean', '19:14:00', 0, 0, 0]]"
8517,2024-09-17,17:11:00,Paris Montparnasse Hall 1 - 2,21:36:00,Toulouse Matabiau,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '17:11:00', 0], ['Bordeaux Saint-Jean', '19:14:00', 0, '19:20:00', 0], ['Agen', '20:23:00', 0, '20:26:00', 0], ['Montauban Ville Bourbon', '21:05:00', 0, '21:08:00', 0], ['Toulouse Matabiau', '21:36:00', 0, 0, 0]]"
5182,2024-09-17,17:12:00,Montpellier Sud de France,22:08:00,Lille Europe,"[['Montpellier Sud de France', 0, 0, '17:12:00', 0], ['Nîmes Pont du Gard', '17:30:00', 0, '17:33:00', 0], ['Valence TGV Rhône-Alpes Sud', '18:10:00', 0, '18:15:00', 0], ['Lyon Part Dieu', '18:50:00', 0, '19:10:00', 600], ['Marne-la-Vallée Chessy', '20:58:00', 600, '21:02:00', 600], ['Aéroport Charles de Gaulle 2 TGV', '21:12:00', 600, '21:17:00', 600], ['Lille Europe', '22:08:00', 600, 0, 0]]"
6923,2024-09-17,17:12:00,Paris Gare de Lyon Hall 1 - 2,20:13:00,Grenoble,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '17:12:00', 0], ['Lyon Saint-Exupéry TGV', '19:10:00', 300, '19:15:00', 300], ['Grenoble', '20:13:00', 0, 0, 0]]"
7060,2024-09-17,17:12:00,Lille Flandres,18:14:00,Paris Gare du Nord,"[['Lille Flandres', 0, 0, '17:12:00', 0], ['Paris Gare du Nord', '18:14:00', 0, 0, 0]]"
9882,2024-09-17,17:12:00,Marseille Saint-Charles,22:53:00,Bruxelles Midi,"[['Marseille Saint-Charles', 0, 0, '17:12:00', 0], ['Aix-en-Provence TGV', '17:33:00', 600, '17:36:00', 600], ['Avignon TGV', '17:56:00', 600, '17:59:00', 600], ['Lyon Part Dieu', '19:04:00', 600, '19:10:00', 600], ['Marne-la-Vallée Chessy', '20:58:00', 600, '21:02:00', 600], ['Aéroport Charles de Gaulle 2 TGV', '21:12:00', 600, '21:17:00', 600], ['Lille Europe', '22:08:00', 600, '22:19:00', 600], ['Bruxelles Midi', '22:53:00', 600, 0, 0]]"
2515,2024-09-17,17:13:00,Paris Est,18:44:00,Nancy,"[['Paris Est', 0, 0, '17:13:00', 0], ['Nancy', '18:44:00', 0, 0, 0]]"
7057,2024-09-17,17:15:00,Paris Gare du Nord,18:18:00,Lille Flandres,"[['Paris Gare du Nord', 0, 0, '17:15:00', 0], ['Lille Flandres', '18:18:00', 0, 0, 0]]"
8067,2024-09-17,17:15:00,Paris Montparnasse Hall 1 - 2,19:09:00,Rennes,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '17:15:00', 0], ['Le Mans', '18:10:00', 0, '18:13:00', 0], ['Laval', '18:41:00', 0, '18:44:00', 0], ['Rennes', '19:09:00', 0, 0, 0]]"
