trip_headsign,Departure Date,Departure Time,Origin,Arrival Time,Destination,Stops
6124,2024-08-12,14:54:00,Hyères,19:22:00,Paris Gare de Lyon Hall 1 - 2,"[['Hyères', 0, 0, '14:54:00', 0], ['Toulon', '15:07:00', 0, '15:10:00', 0], ['Marseille Saint-Charles', '15:51:00', 0, '16:04:00', 0], ['Aix-en-Provence TGV', '16:15:00', 0, '16:18:00', 0], ['Avignon TGV', '16:38:00', 0, '16:41:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '19:22:00', 0, 0, 0]]"
6036,2024-08-12,14:57:00,Perpignan,20:18:00,Paris Gare de Lyon Hall 1 - 2,"[['Perpignan', 0, 0, '14:57:00', 0], ['Narbonne', '15:36:00', 0, '15:39:00', 0], ['Béziers', '15:53:00', 0, '15:56:00', 0], ['Agde', '16:07:00', 0, '16:10:00', 0], ['Sète', '16:23:00', 0, '16:26:00', 0], ['Montpellier Saint-Roch', '16:45:00', 0, '16:50:00', 0], ['Nîmes Centre', '17:15:00', 0, '17:19:00', 0], ['Valence TGV Rhône-Alpes Sud', '18:02:00', 0, '18:05:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '20:18:00', 0, 0, 0]]"
6122,2024-08-12,15:02:00,Marseille Saint-Charles,18:32:00,Paris Gare de Lyon Hall 1 - 2,"[['Marseille Saint-Charles', 0, 0, '15:02:00', 0], ['Aix-en-Provence TGV', '15:15:00', 0, '15:18:00', 0], ['Avignon TGV', '15:38:00', 0, '15:41:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '18:32:00', 600, 0, 0]]"
8542,2024-08-12,15:04:00,Hendaye,19:49:00,Paris Montparnasse Hall 1 - 2,"[['Hendaye', 0, 0, '15:04:00', 0], ['Saint-Jean-de-Luz - Ciboure', '15:14:00', 0, '15:17:00', 0], ['Biarritz', 0, 0, '15:30:00', 0], ['Bayonne', '15:47:00', 0, '15:50:00', 0], ['Dax', '16:21:00', 0, '16:24:00', 0], ['Bordeaux Saint-Jean', '17:40:00', 0, '17:46:00', 0], ['Paris Montparnasse Hall 1 - 2', '19:49:00', 0, 0, 0]]"
7856,2024-08-12,15:05:00,Nice-Ville,21:07:00,Paris Gare de Lyon Hall 1 - 2,"[['Nice-Ville', 0, 0, '15:15:00', 600], ['Antibes', '15:42:00', 1500, '15:45:00', 1500], ['Cannes', '15:54:00', 1500, '15:58:00', 1500], ['Saint-Raphaël Valescure', '16:19:00', 1500, '16:22:00', 1500], ['Toulon', '17:08:00', 1500, '17:12:00', 1500], ['Aix-en-Provence TGV', '18:04:00', 1500, '18:07:00', 1500], ['Paris Gare de Lyon Hall 1 - 2', '21:07:00', 1500, 0, 0]]"
9507,2024-08-12,15:09:00,Paris Est,21:36:00,Munich,"[['Paris Est', 0, 0, '15:09:00', 0], ['Sarrebruck', '17:02:00', 300, '17:04:00', 300], ['Kaiserslautern Hbf', '17:43:00', 300, '17:45:00', 300], ['Mannheim Hbf', '18:30:00', 300, '18:32:00', 300], ['Stuttgart Hbf', '19:09:00', 300, '19:20:00', 0], ['Ulm Hbf', '20:21:00', 0, '20:23:00', 0], ['Augsburg Hbf', '21:04:00', 0, '21:07:00', 0], ['Munich', '21:36:00', 0, 0, 0]]"
9250,2024-08-12,15:10:00,MILANO PORTA GARIBALDI,23:14:00,Paris Gare de Lyon Hall 1 - 2,"[['MILANO PORTA GARIBALDI', 0, 0, '15:10:00', 0], ['Turin Porta Susa', '16:39:00', 0, '16:41:00', 0], ['OULX CESANA CLAVIERE SESTRIERE', '17:33:00', 0, '17:35:00', 0], ['Modane', '18:05:00', 0, '18:35:00', 0], ['Saint-Jean-de-Maurienne Arvan', '19:05:00', 0, '19:30:00', 0], ['Chambéry - Challes-les-Eaux', '20:15:00', 0, '20:22:00', 0], ['Mâcon - Loché TGV', '21:35:00', 0, '21:38:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '23:14:00', 0, 0, 0]]"
8509,2024-08-12,15:11:00,Paris Montparnasse Hall 1 - 2,19:22:00,Toulouse Matabiau,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '15:11:00', 0], ['Bordeaux Saint-Jean', '17:14:00', 0, '17:20:00', 0], ['Toulouse Matabiau', '19:22:00', 0, 0, 0]]"
8730,2024-08-12,15:12:00,Quimper,19:04:00,Paris Montparnasse Hall 1 - 2,"[['Quimper', 0, 0, '15:12:00', 0], ['Rosporden', '15:23:00', 0, '15:26:00', 0], ['Quimperlé', '15:39:00', 0, '15:41:00', 0], ['Lorient', '15:52:00', 0, '15:55:00', 0], ['Auray', '16:10:00', 0, '16:13:00', 0], ['Vannes', '16:23:00', 0, '16:26:00', 0], ['Rennes', '17:25:00', 0, '17:35:00', 0], ['Paris Montparnasse Hall 1 - 2', '19:04:00', 0, 0, 0]]"
9868,2024-08-12,15:12:00,Marseille Saint-Charles,21:35:00,Bruxelles Midi,"[['Marseille Saint-Charles', 0, 0, '15:12:00', 0], ['Aix-en-Provence TGV', '15:23:00', 0, '15:26:00', 0], ['Avignon TGV', '15:46:00', 0, '15:49:00', 0], ['Lyon Part Dieu', '16:53:00', 0, '17:10:00', 600], ['Marne-la-Vallée Chessy', '18:57:00', 600, '19:01:00', 600], ['Aéroport Charles de Gaulle 2 TGV', '19:11:00', 600, '19:17:00', 600], ['Lille Europe', '20:08:00', 600, '20:32:00', 600], ['Bruxelles Midi', '21:35:00', 600, 0, 0]]"
5288,2024-08-12,15:17:00,Nantes,19:35:00,Lille Europe,"[['Nantes', 0, 0, '15:17:00', 0], ['Angers Saint-Laud', '15:59:00', 0, '16:02:00', 0], ['Le Mans', '16:46:00', 0, '16:57:00', 0], ['Massy TGV', '17:47:00', 0, '17:55:00', 0], ['Marne-la-Vallée Chessy', '18:23:00', 0, '18:28:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '18:37:00', 0, '18:43:00', 0], ['Lille Europe', '19:35:00', 0, 0, 0]]"
7845,2024-08-12,15:20:00,Lille Flandres,20:16:00,Marseille Saint-Charles,"[['Lille Flandres', 0, 0, '15:20:00', 0], ['TGV Haute Picardie', '15:48:00', 0, '15:53:00', 0], ['Aéroport Charles de Gaulle 2 TGV', '16:24:00', 0, '16:32:00', 0], ['Marne-la-Vallée Chessy', '16:43:00', 0, '16:49:00', 0], ['Lyon Saint-Exupéry TGV', '18:32:00', 0, '18:35:00', 0], ['Valence TGV Rhône-Alpes Sud', '18:58:00', 0, '19:01:00', 0], ['Avignon TGV', '19:34:00', 0, '19:37:00', 0], ['Aix-en-Provence TGV', '19:57:00', 0, '20:00:00', 0], ['Marseille Saint-Charles', '20:16:00', 0, 0, 0]]"
6163,2024-08-12,15:22:00,Paris Gare de Lyon Hall 1 - 2,20:58:00,Nice-Ville,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '15:22:00', 0], ['Avignon TGV', '18:00:00', 0, '18:03:00', 0], ['Toulon', '19:12:00', 0, '19:16:00', 0], ['Saint-Raphaël Valescure', '20:02:00', 0, '20:05:00', 0], ['Cannes', '20:27:00', 0, '20:31:00', 0], ['Antibes', '20:41:00', 0, '20:44:00', 0], ['Nice-Ville', '20:58:00', 0, 0, 0]]"
7804,2024-08-12,15:24:00,Lyon Perrache,17:59:00,Paris Gare de Lyon Hall 1 - 2,"[['Lyon Perrache', 0, 0, '15:24:00', 0], ['Lyon Part Dieu', '15:32:00', 0, '15:48:00', 600], ['Paris Gare de Lyon Hall 1 - 2', '17:59:00', 1500, 0, 0]]"
7641,2024-08-12,15:27:00,Paris Montparnasse Hall 1 - 2,18:46:00,La Rochelle,"[['Paris Montparnasse Hall 1 - 2', 0, 0, '15:27:00', 0], ['Poitiers', '17:14:00', 1800, '17:18:00', 1800], ['Niort', '18:02:00', 1800, '18:05:00', 1800], ['Surgères', '18:23:00', 1800, '18:25:00', 1800], ['La Rochelle', '18:46:00', 1800, 0, 0]]"
9577,2024-08-12,15:27:00,Paris Est,18:14:00,Strasbourg,"[['Paris Est', 0, 0, '15:42:00', 900], ['Metz', '17:05:00', 900, '17:18:00', 900], ['Strasbourg', '18:14:00', 900, 0, 0]]"
6978,2024-08-12,15:29:00,Annecy,19:19:00,Paris Gare de Lyon Hall 1 - 2,"[['Annecy', 0, 0, '15:29:00', 0], ['Aix-les-Bains le Revard', '15:56:00', 0, '16:04:00', 300], ['Chambéry - Challes-les-Eaux', '16:14:00', 300, '16:27:00', 300], ['Mâcon - Loché TGV', '17:45:00', 600, '17:48:00', 600], ['Paris Gare de Lyon Hall 1 - 2', '19:19:00', 300, 0, 0]]"
9226,2024-08-12,15:34:00,Zuerich HB,19:38:00,Paris Gare de Lyon Hall 1 - 2,"[['Zuerich HB', 0, 0, '15:34:00', 0], ['Basel SBB', '16:28:00', 0, '16:34:00', 0], ['Mulhouse', '16:54:00', 0, '16:57:00', 0], ['Dijon', '17:59:00', 0, '18:03:00', 0], ['Paris Gare de Lyon Hall 1 - 2', '19:38:00', 0, 0, 0]]"
6117,2024-08-12,15:38:00,Paris Gare de Lyon Hall 1 - 2,18:59:00,Marseille Saint-Charles,"[['Paris Gare de Lyon Hall 1 - 2', 0, 0, '15:38:00', 0], ['Avignon TGV', '18:18:00', 0, '18:21:00', 0], ['Aix-en-Provence TGV', '18:42:00', 0, '18:46:00', 0], ['Marseille Saint-Charles', '18:59:00', 0, 0, 0]]"
